Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-05-26,1539.0,,255,64.3404761904762,63.413191374738616,1539.0,1539.0,cut,64.84529919454674,-0.025713357076284638
2024-05-27,1770.0,,256,64.31428571428572,63.41819809682868,1770.0,1770.0,cut,64.81960746625174,-0.025670000135373055
2024-05-28,1675.0,,257,64.28809523809524,63.42924475404789,1675.0,1675.0,cut,64.79395942234302,-0.02562596011586038
2024-05-29,2113.0,,258,64.26190476190476,63.44650829149423,2113.0,2113.0,cut,64.76835583098851,-0.025581066688455206
2024-05-30,1720.0,,259,64.23571428571428,63.47016565426566,1720.0,1720.0,cut,64.74279762872287,-0.025535154043510033
2024-05-31,1627.0,,260,64.2095238095238,63.50039378746011,1903.5,1785.771585327518,cut,64.71728591866494,-0.02548805493075198
2024-06-01,2087.0,,261,64.18333333333334,63.537369636175576,2087.0,2087.0,cut,64.69182196855552,-0.025439606464061626
2024-06-02,1973.0,64.5,262,64.15714285714286,63.581270145509976,1973.0,1973.0,cut,64.66640720872743,-0.025389647468898602
2024-06-03,1717.0,,263,64.13095238095238,63.6322722605613,1818.0,1643.3354191352623,cut,64.6410432298084,-0.02533801873916275
2024-06-04,1368.0,,264,64.1047619047619,63.690552926427486,1663.0,1317.7876115138308,cut,64.6157317804738,-0.02528456308255045
2024-06-05,560.0,,265,64.07857142857142,63.75628908820648,1508.0,1164.845998135484,cut,64.59047476491654,-0.025229125570310394
2024-06-06,1353.0,,266,64.05238095238096,63.82965769099627,1353.0,1353.0,cut,64.56527424026437,-0.025171555389154797
2024-06-07,1811.0,,267,64.02619047619048,63.91083567989479,1811.0,1811.0,cut,64.5401324138789,-0.025111704221340386
2024-06-08,1858.0,64.0,268,64.0,64.0,1858.0,1858.0,cut,64.51505164050934,-0.02504942567990535
2024-06-09,2146.0,,269,64.1,64.0968062639957,1823.0,1822.3820532546567,cut,64.49003441939526,-0.02498457660315978
2024-06-10,1788.0,,270,64.2,64.1988247549091,1788.0,1788.0,cut,64.46508339115715,-0.024917016969894235
2024-06-11,1736.0,65.3,271,64.3,64.30310442335318,1736.0,1736.0,cut,64.44020133469354,-0.02484661069696396
2024-06-12,1892.0,,272,64.39999999999999,64.40669421994102,1892.0,1892.0,cut,64.41539116392282,-0.024773223502568463
2024-06-13,2171.0,,273,64.5,64.50664309528561,2171.0,2171.0,cut,64.3906559244157,-0.02469672638234499
2024-06-14,1630.0,64.6,274,64.6,64.6,1630.0,1630.0,cut,64.36599878999428,-0.02461699265256338
